"pie","eng","see-also","pie-keywords","eng-keywords","pie-metaphone","eng-metaphone"
"ag̑-","to lead, drive, <b>agitate</b>","[""ag\u0311ro-s""]","[""ag"", ""ag-"", ""ag\u0311"", ""ag\u0311-"", ""agro"", ""agro-"", ""ag\u0311ro"", ""ag\u0311ro-""]","[""agit"", ""drive"", ""lead"", ""to""]","[""AK"", ""AKK"", ""AKR"", ""AKRS""]","[""AJT"", ""AKT"", ""LT"", ""T"", ""TRF""]"
"ā̆g̑-","goat","[""aig\u0311-""]","[""aag"", ""aag-"", ""\u0101\u0306g\u0311"", ""\u0101\u0306g\u0311-"", ""aig"", ""aig-"", ""aig\u0311"", ""aig\u0311-""]","[""goat""]","[""AK"", ""AKK""]","[""KT""]"
"ā̆g̑-","goat","[""aig\u0311-""]","[""aag"", ""aag-"", ""\u0101\u0306g\u0311"", ""\u0101\u0306g\u0311-"", ""aig"", ""aig-"", ""aig\u0311"", ""aig\u0311-""]","[""goat""]","[""AK"", ""AKK""]","[""KT""]"
"ag̑h-","animal that may bear young","[]","[""agh"", ""agh-"", ""ag\u0311h"", ""ag\u0311h-""]","[""anim"", ""bear"", ""may"", ""that"", ""young""]","[""AA""]","[""0T"", ""ANK"", ""ANM"", ""M"", ""PR"", ""TT""]"
"ag̑h-","animal that may bear young","[]","[""agh"", ""agh-"", ""ag\u0311h"", ""ag\u0311h-""]","[""anim"", ""bear"", ""may"", ""that"", ""young""]","[""AA""]","[""0T"", ""ANK"", ""ANM"", ""M"", ""PR"", ""TT""]"
"ā̆g̑her-","<b>day</b>, <b>dawn</b>","[]","[""aagher"", ""aagher-"", ""\u0101\u0306g\u0311her"", ""\u0101\u0306g\u0311her-""]","[""dawn"", ""day""]","[""ANN"", ""AR"", ""ARR"", ""ASS""]","[""T"", ""TN""]"
"ā̆g̑her-","<b>day</b>, <b>dawn</b>","[]","[""aagher"", ""aagher-"", ""\u0101\u0306g\u0311her"", ""\u0101\u0306g\u0311her-""]","[""dawn"", ""day""]","[""ANN"", ""AR"", ""ARR"", ""ASS""]","[""T"", ""TN""]"
"ā̆g̑hen-","<b>day</b>, <b>dawn</b>","[]","[""aaghen"", ""aaghen-"", ""\u0101\u0306g\u0311hen"", ""\u0101\u0306g\u0311hen-""]","[""dawn"", ""day""]","[""AN"", ""ANN"", ""AR"", ""ARR"", ""ASS""]","[""T"", ""TN""]"
"ā̆g̑hen-","<b>day</b>, <b>dawn</b>","[]","[""aaghen"", ""aaghen-"", ""\u0101\u0306g\u0311hen"", ""\u0101\u0306g\u0311hen-""]","[""dawn"", ""day""]","[""AN"", ""ANN"", ""AR"", ""ARR"", ""ASS""]","[""T"", ""TN""]"
"ā̆g̑hes-","<b>day</b>, <b>dawn</b>","[]","[""aagh"", ""aaghes-"", ""\u0101\u0306g\u0311hes"", ""\u0101\u0306g\u0311hes-""]","[""dawn"", ""day""]","[""A"", ""ANN"", ""AR"", ""ARR"", ""AS"", ""ASS""]","[""T"", ""TN""]"
