pcl,eng,see-also,pcl-keywords,eng-keywords,pcl-metaphone,eng-metaphone
*stong-e/o-,bend down,,"eo,stong,stong-eo-,stongg,stongg-eo-,stonggg,stonggg-eo-","bend,down","A,STNK,STNKK,STNKKK,STNKKKK","PNKT,TNK"
*exs-stong-e/o-,bend down,,"eo,ex,exs-stong-eo-,exs-stongg-eo-,exs-stonggg-eo-,stong,stongg,stonggg","bend,down","A,AKS,AKSSSSTNKK,AKSSSSTNKKK,KSSSSTNKKKK,STNK,STNKK","PNKT,TNK"
*(kom-)olk-o-,perfect,,"kom,kom-olk-o-,kong,kong-olk-o-,kongg,kongg-olk-o-,o,olk",perfect,"A,ALK,KNK,KNKKKLKK,KNKKLKK",PRFKT
*olk-o-,perfect,,"o,olk,olk-o-",perfect,"A,ALK,ALKK,LKK",PRFKT
*kom-olk-o-,perfect,,"kom,kom-olk-o-,kong,kong-olk-o-,kongg,kongg-olk-o-,o,olk",perfect,"A,ALK,KNK,KNKKLKK",PRFKT
*(kom-)osti-,temple,,"kom,kom-osti-,kong,kong-osti-,kongg,kongg-osti-,osti",templ,"AST,KNK,KNKKKST,KNKKST",TNKPL
*osti-,temple,,"osti,osti-",templ,"AST,ST",TNKPL
*kom-osti-,temple,,"kom,kom-osti-,kong,kong-osti-,kongg,kongg-osti-,osti",templ,"AST,KNK,KNKKST",TNKPL
*(kom-)tou(V)to-,cover,,"kom,kom-touvto-,kong,kong-touvto-,kongg,kongg-touvto-,touvto",cover,"KNK,KNKKFT,KNKKKTFFT,KNKKTFT,TFT",KFR
*touto-,cover,,"touto,touto-",cover,TT,KFR
*kom-touto-,cover,,"kom,kom-touto-,kong,kong-touto-,kongg,kongg-touto-,touto",cover,"KNK,KNKKT,KNKKTT,TT",KFR
*touVto-,cover,,"touvto,touvto-",cover,TFT,KFR
*kom-touVto-,cover,,"kom,kom-touvto-,kong,kong-touvto-,kongg,kongg-touvto-,touvto",cover,"KNK,KNKKFT,KNKKTFT,TFT",KFR
*(s)an-,our,,"san,san-,sang,sang-,sangg,sangg-",our,"SNK,SNKK,SSNKK",AR
*an-,our,,"an,an-,ang,ang-,angg,angg-",our,"ANK,ANKK,NKK",AR
*san-,our,,"san,san-,sang,sang-,sangg,sangg-",our,"SNK,SNKK",AR
*(s)kramman-,skin,,"skramman,skramman-,skranggnggangg,skranggnggangg-,skrangngang,skrangngang-",skin,"SKRNKNKNK,SKRNKNKNKK,SSKRNKNKNKK",SKNK
*kramman-,skin,,"kramman,kramman-,kranggnggangg,kranggnggangg-,krangngang,krangngang-",skin,"KRNKNKNK,KRNKNKNKK",SKNK
*skramman-,skin,,"skramman,skramman-,skranggnggangg,skranggnggangg-,skrangngang,skrangngang-",skin,"SKRNKNKNK,SKRNKNKNKK",SKNK
*(s)kutu-,head,,"skutu,skutu-",head,"SKT,SSKT",HT
*kutu-,head,,"kutu,kutu-",head,KT,HT
*skutu-,head,,"skutu,skutu-",head,SKT,HT
*(s)kǐttu-,left,,"skittu,skittu-,skǐttu,skǐttu-",left,"SKT,SSKT",LFT
*kǐttu-,left,,"kittu,kittu-,kǐttu,kǐttu-",left,KT,LFT
*skǐttu-,left,,"skittu,skittu-,skǐttu,skǐttu-",left,SKT,LFT
*(s)lib-markā-,oyster,,"markā,ngarka,nggarka,slib,slib-markā-,slib-ngarka-,slib-nggarka-",oyster,"NKRK,SLP,SLPPNKRK,SSLPPNKRK,XLP,XLPPNKRK",ASTR
